alias,lang_id,source
ags,ags-script,linguist
aspx,asp-net,linguist
aspx-vb,asp-net,linguist
ats2,ats,linguist
actionscript 3,actionscript,linguist
actionscript3,actionscript,linguist
as3,actionscript,linguist
ada95,ada,linguist
ada2005,ada,linguist
ad block filters,adblock-filter-list,linguist
ad block,adblock-filter-list,linguist
adb,adblock-filter-list,linguist
adblock,adblock-filter-list,linguist
acfm,adobe-font-metrics,linguist
adobe composite font metrics,adobe-font-metrics,linguist
adobe multiple font metrics,adobe-font-metrics,linguist
amfm,adobe-font-metrics,linguist
abuild,alpine-abuild,linguist
apkbuild,alpine-abuild,linguist
altium,altium-designer,linguist
aconf,apacheconf,linguist
apache,apacheconf,linguist
osascript,applescript,linguist
asm,assembly,linguist
nasm,assembly,linguist
ahk,autohotkey,linguist
au3,autoit,linguist
AutoIt3,autoit,linguist
AutoItScript,autoit,linguist
basic for android,b4x,linguist
bat,batch-file,linguist
batch,batch-file,linguist
dosbatch,batch-file,linguist
winbatch,batch-file,linguist
be,berry,linguist
b3d,blitzbasic,linguist
blitz3d,blitzbasic,linguist
blitzplus,blitzbasic,linguist
bplus,blitzbasic,linguist
bmax,blitzmax,linguist
bluespec bsv,bluespec,linguist
bsv,bluespec,linguist
bh,bluespec-bh,linguist
bluespec classic,bluespec-bh,linguist
csharp,c-sharp,linguist
cake,c-sharp,linguist
cakescript,c-sharp,linguist
cpp,c-plus-plus,linguist
c2hs,c2hs-haskell,linguist
cds,cap-cds,linguist
Cabal,cabal-config,linguist
Caddy,caddyfile,linguist
Carto,cartocss,linguist
chpl,chapel,linguist
checksum,checksums,linguist
hash,checksums,linguist
hashes,checksums,linguist
sum,checksums,linguist
sums,checksums,linguist
asp,classic-asp,linguist
soy,closure-templates,linguist
CoNLL,conll-u,linguist
CoNLL-X,conll-u,linguist
ql,codeql,linguist
coffee,coffeescript,linguist
coffee-script,coffeescript,linguist
cfm,coldfusion,linguist
cfml,coldfusion,linguist
coldfusion html,coldfusion,linguist
cfc,coldfusion-cfc,linguist
lisp,common-lisp,linguist
cwl,common-workflow-language,linguist
c++-objdump,cpp-objdump,linguist
csound-orc,csound,linguist
csound-csd,csound-document,linguist
csound-sco,csound-score,linguist
pyrex,cython,linguist
Dlang,d,linguist
d2lang,d2,linguist
dcl,digital-command-language,linguist
byond,dm,linguist
dtrace-script,dtrace,linguist
dpatch,darcs-patch,linguist
udiff,diff,linguist
Containerfile,dockerfile,linguist
email,e-mail,linguist
eml,e-mail,linguist
mail,e-mail,linguist
mbox,e-mail,linguist
Earthfile,earthly,linguist
ecmarkdown,ecmarkup,linguist
esdl,edgeql,linguist
editor-config,editorconfig,linguist
elisp,emacs-lisp,linguist
emacs,emacs-lisp,linguist
fsharp,f-sharp,linguist
fstar,f,linguist
FIGfont,figlet-font,linguist
fb,freebasic,linguist
ftl,freemarker,linguist
gemtext,gemini,linguist
xml+genshi,genshi,linguist
xml+kid,genshi,linguist
rs-274x,gerber-image,linguist
pot,gettext-catalog,linguist
cucumber,gherkin,linguist
gitattributes,git-attributes,linguist
commit,git-commit,linguist
gitconfig,git-config,linguist
gitmodules,git-config,linguist
Git Blame Ignore Revs,git-revision-list,linguist
golang,go,linguist
go.sum,go-checksums,linguist
go sum,go-checksums,linguist
go.work.sum,go-checksums,linguist
go work sum,go-checksums,linguist
go.mod,go-module,linguist
go mod,go-module,linguist
go.work,go-workspace,linguist
go work,go-workspace,linguist
gf,grammatical-framework,linguist
gsp,groovy-server-pages,linguist
java server page,groovy-server-pages,linguist
HashiCorp Configuration Language,hcl,linguist
terraform,hcl,linguist
xhtml,html,linguist
ecr,html+ecr,linguist
eex,html+eex,linguist
heex,html+eex,linguist
leex,html+eex,linguist
erb,html+erb,linguist
rhtml,html+erb,linguist
html+ruby,html+erb,linguist
razor,html+razor,linguist
hbs,handlebars,linguist
htmlbars,handlebars,linguist
hosts,hosts-file,linguist
hylang,hy,linguist
igor,igor-pro,linguist
igorpro,igor-pro,linguist
dosini,ini,linguist
irc,irc-log,linguist
irc logs,irc-log,linguist
ignore,ignore-list,linguist
gitignore,ignore-list,linguist
git-ignore,ignore-list,linguist
ijm,imagej-macro,linguist
i7,inform-7,linguist
inform7,inform-7,linguist
geojson,json,linguist
jsonl,json,linguist
sarif,json,linguist
topojson,json,linguist
jsonc,json-with-comments,linguist
jsp,java-server-pages,linguist
jte,java-template-engine,linguist
js,javascript,linguist
node,javascript,linguist
mps,jetbrains-mps,linguist
django,jinja,linguist
html+django,jinja,linguist
html+jinja,jinja,linguist
htmldjango,jinja,linguist
IPython Notebook,jupyter-notebook,linguist
Justfile,just,linguist
ksy,kaitai-struct,linguist
kak,kakounescript,linguist
kakscript,kakounescript,linguist
pcbnew,kicad-layout,linguist
eeschema schematic,kicad-schematic,linguist
lassoscript,lasso,linguist
lean4,lean-4,linguist
less-css,less,linguist
flex,lex,linguist
