extension,count_total,count_pldb,count_linguist,count_wikipedia,count_esolang,sample_lang
.inc,12,8,12,3,2,Assembely
.m,7,5,7,3,1,Limbo
.bas,6,4,6,1,1,B4X
.cls,6,4,6,1,0,Apex
.fcgi,6,4,6,3,2,Lua
.mod,5,4,5,2,0,AMPL
.ncl,5,3,5,0,1,Gerber Image
.pro,5,4,5,1,0,IDL
.sql,5,3,5,1,0,PLpgSQL
.bf,4,4,4,0,3,Beef
.fs,4,4,4,0,1,F#
.gml,4,4,4,1,0,Game Maker Language
.gs,4,4,4,1,0,Genie
.l,4,4,4,2,0,Common Lisp
.sch,4,3,4,0,0,Eagle
.t,4,4,4,1,1,Perl
.x,4,2,4,0,1,DirectX 3D File
.yaml,4,0,4,0,0,MiniYAML
.yml,4,0,4,0,0,MiniYAML
.asc,3,2,3,0,0,AGS Script
.bb,3,3,3,1,0,BitBake
.bs,3,0,3,0,0,Bikeshed
.cgi,3,1,3,1,2,Perl
.cl,3,3,3,2,1,Common Lisp
.d,3,2,3,0,1,D
.e,3,2,3,0,1,E
.f,3,3,3,1,1,Filebench WML
.for,3,2,3,1,1,Formatted
.fr,3,2,3,0,2,Forth
.frm,3,2,3,0,0,INI
.h,3,2,3,3,2,C
.i,3,0,3,0,1,Assembely
.json,3,0,3,0,0,JSON
.mc,3,1,3,0,0,M4
.ms,3,2,3,0,0,MAXScript
.pl,3,3,3,2,1,Perl
.pm,3,3,3,1,1,Perl
.r,3,2,3,1,0,R
.rs,3,3,3,0,0,RenderScript
.s,3,0,3,0,1,Assembely
.spec,3,1,3,0,1,Python
.txt,3,0,3,0,1,Adblock Filter List
.v,3,2,3,0,1,Rocq Prover
.1,2,1,2,0,0,Roff
.1in,2,1,2,0,0,Roff
.1m,2,1,2,0,0,Roff
.1x,2,1,2,0,0,Roff
.2,2,1,2,0,0,Roff
.3,2,1,2,0,0,Roff
.3in,2,1,2,0,0,Roff
.3m,2,1,2,0,0,Roff
.3p,2,1,2,0,0,Roff
.3pm,2,1,2,0,0,Roff
.3qt,2,1,2,0,0,Roff
.3x,2,1,2,0,0,Roff
.4,2,1,2,0,0,Roff
.5,2,1,2,0,0,Roff
.6,2,1,2,0,0,Roff
.7,2,1,2,0,0,Roff
.8,2,1,2,0,0,Roff
.9,2,1,2,0,0,Roff
.al,2,2,2,1,1,AL
.as,2,2,2,2,0,ActionScript
.ash,2,1,2,0,0,AGS Script
.asm,2,0,2,0,1,Assembely
.asy,2,1,2,0,0,Asymptote
.b,2,2,2,0,1,Brainfuck
.brd,2,1,2,0,0,Eagle
.bst,2,0,2,0,0,BibTeX Style
.cairo,2,1,2,0,0,Cairo
.cake,2,1,2,1,0,C#
.cfg,2,1,2,0,0,HAProxy
.ch,2,2,2,0,0,Charity
.cp,2,1,2,2,1,C++
.cs,2,1,2,1,0,C#
.csl,2,1,2,0,0,Kusto
.cue,2,0,2,0,0,CUE
.ddl,2,1,2,1,0,PLSQL
.dsc,2,0,2,0,0,Debian Package Control File
.dsp,2,1,2,0,0,Faust
.ecl,2,1,2,0,1,ECL
.es,2,2,2,1,0,Erlang
.ex,2,2,2,0,0,Elixir
.frag,2,2,2,1,0,GLSL
.ftl,2,1,2,0,0,Fluent
.fx,2,2,2,0,1,FLUX
.g,2,2,2,1,0,G-code
.gd,2,2,2,0,1,GAP
.gst,2,2,2,0,0,Gosu
.gts,2,1,2,0,0,Gerber Image
.hh,2,1,2,1,1,C++
.html,2,1,2,0,0,Ecmarkup
.ice,2,1,2,0,0,JSON
.j,2,2,2,0,0,Jasmin
.jq,2,2,2,0,1,jq
.ks,2,0,2,0,0,KerboScript
.lean,2,1,2,0,0,Lean
.lisp,2,2,2,2,0,Common Lisp
.lp,2,0,2,0,0,Answer Set Programming
.ls,2,2,2,0,0,LiveScript
.lsp,2,2,2,2,0,Common Lisp
.m4,2,2,2,0,0,M4
.man,2,1,2,0,0,Roff
.mask,2,1,2,0,0,Mask
.md,2,2,2,0,0,GCC Machine Description
.mdoc,2,1,2,0,0,Roff
.ml,2,2,2,2,0,OCaml
.mm,2,1,2,0,0,Objective-C++
.mo,2,1,2,1,0,Modelica
.mojo,2,2,2,0,0,Mojo
