rosettacode_name,rosettacode_url,rosettacode_summary,rosettacode_tasks_count
.QL,https://rosettacode.org/wiki/.QL,,0
0815,https://rosettacode.org/wiki/0815,,16
11l,https://rosettacode.org/wiki/11l,,1016
1C,https://rosettacode.org/wiki/1C,,2
360 Assembly,https://rosettacode.org/wiki/360_Assembly,,220
4D,https://rosettacode.org/wiki/4D,,5
4DOS Batch,https://rosettacode.org/wiki/4DOS_Batch,,6
4ME,https://rosettacode.org/wiki/4ME,,6
6502 Assembly,https://rosettacode.org/wiki/6502_Assembly,,129
6800 Assembly,https://rosettacode.org/wiki/6800_Assembly,,4
68000 Assembly,https://rosettacode.org/wiki/68000_Assembly,,108
8 1/2,https://rosettacode.org/wiki/8_1/2,,0
80386 Assembly,https://rosettacode.org/wiki/80386_Assembly,,1
8051 Assembly,https://rosettacode.org/wiki/8051_Assembly,,9
8080 Assembly,https://rosettacode.org/wiki/8080_Assembly,,116
8086 Assembly,https://rosettacode.org/wiki/8086_Assembly,,124
8th,https://rosettacode.org/wiki/8th,,91
A+,https://rosettacode.org/wiki/A+,,0
AArch64 Assembly,https://rosettacode.org/wiki/AArch64_Assembly,,244
ABAP,https://rosettacode.org/wiki/ABAP,,70
ABC,https://rosettacode.org/wiki/ABC,,54
ACL2,https://rosettacode.org/wiki/ACL2,,96
AHDL,https://rosettacode.org/wiki/AHDL,,0
AIDED NATURAL LANGUAGE,https://rosettacode.org/wiki/AIDED_NATURAL_LANGUAGE,,0
ALGOL,https://rosettacode.org/wiki/ALGOL,,0
ALGOL 60,https://rosettacode.org/wiki/ALGOL_60,,70
ALGOL 68,https://rosettacode.org/wiki/ALGOL_68,,1124
ALGOL W,https://rosettacode.org/wiki/ALGOL_W,,347
ALGOL-M,https://rosettacode.org/wiki/ALGOL-M,,56
AMPL,https://rosettacode.org/wiki/AMPL,,1
ANSI BASIC,https://rosettacode.org/wiki/ANSI_BASIC,,65
ANT,https://rosettacode.org/wiki/ANT,"See:

Category:ANT
Category:Apache Ant",0
ANTLR,https://rosettacode.org/wiki/ANTLR,,6
APL,https://rosettacode.org/wiki/APL,,327
ARM Assembly,https://rosettacode.org/wiki/ARM_Assembly,,280
ASIC,https://rosettacode.org/wiki/ASIC,,30
ASP,https://rosettacode.org/wiki/ASP,,1
ASP.Net,https://rosettacode.org/wiki/ASP.Net,,0
ATS,https://rosettacode.org/wiki/ATS,,143
AWK,https://rosettacode.org/wiki/AWK,,717
