rosettacode_name,rosettacode_url,matched,master_row_index
.QL,https://rosettacode.org/wiki/.QL,True,2356.0
0815,https://rosettacode.org/wiki/0815,True,19.0
11l,https://rosettacode.org/wiki/11l,False,
1C,https://rosettacode.org/wiki/1C,True,65.0
360 Assembly,https://rosettacode.org/wiki/360_Assembly,False,
4D,https://rosettacode.org/wiki/4D,True,179.0
4DOS Batch,https://rosettacode.org/wiki/4DOS_Batch,True,6934.0
4ME,https://rosettacode.org/wiki/4ME,True,187.0
6502 Assembly,https://rosettacode.org/wiki/6502_Assembly,False,
6800 Assembly,https://rosettacode.org/wiki/6800_Assembly,False,
68000 Assembly,https://rosettacode.org/wiki/68000_Assembly,False,
8 1/2,https://rosettacode.org/wiki/8_1/2,False,
80386 Assembly,https://rosettacode.org/wiki/80386_Assembly,False,
8051 Assembly,https://rosettacode.org/wiki/8051_Assembly,False,
8080 Assembly,https://rosettacode.org/wiki/8080_Assembly,False,
8086 Assembly,https://rosettacode.org/wiki/8086_Assembly,False,
8th,https://rosettacode.org/wiki/8th,True,227.0
A+,https://rosettacode.org/wiki/A+,True,242.0
AArch64 Assembly,https://rosettacode.org/wiki/AArch64_Assembly,False,
ABAP,https://rosettacode.org/wiki/ABAP,True,295.0
ABC,https://rosettacode.org/wiki/ABC,True,299.0
ACL2,https://rosettacode.org/wiki/ACL2,True,344.0
AHDL,https://rosettacode.org/wiki/AHDL,False,
AIDED NATURAL LANGUAGE,https://rosettacode.org/wiki/AIDED_NATURAL_LANGUAGE,False,
ALGOL,https://rosettacode.org/wiki/ALGOL,True,301.0
ALGOL 60,https://rosettacode.org/wiki/ALGOL_60,True,524.0
ALGOL 68,https://rosettacode.org/wiki/ALGOL_68,True,525.0
ALGOL W,https://rosettacode.org/wiki/ALGOL_W,True,529.0
ALGOL-M,https://rosettacode.org/wiki/ALGOL-M,False,
AMPL,https://rosettacode.org/wiki/AMPL,True,620.0
ANSI BASIC,https://rosettacode.org/wiki/ANSI_BASIC,True,675.0
