rosettacode_name,rosettacode_url
11l,https://rosettacode.org/wiki/11l
360 Assembly,https://rosettacode.org/wiki/360_Assembly
6502 Assembly,https://rosettacode.org/wiki/6502_Assembly
6800 Assembly,https://rosettacode.org/wiki/6800_Assembly
68000 Assembly,https://rosettacode.org/wiki/68000_Assembly
8 1/2,https://rosettacode.org/wiki/8_1/2
80386 Assembly,https://rosettacode.org/wiki/80386_Assembly
8051 Assembly,https://rosettacode.org/wiki/8051_Assembly
8080 Assembly,https://rosettacode.org/wiki/8080_Assembly
8086 Assembly,https://rosettacode.org/wiki/8086_Assembly
AArch64 Assembly,https://rosettacode.org/wiki/AArch64_Assembly
AHDL,https://rosettacode.org/wiki/AHDL
AIDED NATURAL LANGUAGE,https://rosettacode.org/wiki/AIDED_NATURAL_LANGUAGE
ALGOL-M,https://rosettacode.org/wiki/ALGOL-M
ARM Assembly,https://rosettacode.org/wiki/ARM_Assembly
Acornsoft Lisp,https://rosettacode.org/wiki/Acornsoft_Lisp
Acurity Architect,https://rosettacode.org/wiki/Acurity_Architect
Adina,https://rosettacode.org/wiki/Adina
Agda2,https://rosettacode.org/wiki/Agda2
Agena,https://rosettacode.org/wiki/Agena
Aikido,https://rosettacode.org/wiki/Aikido
Alice ML,https://rosettacode.org/wiki/Alice_ML
Alore,https://rosettacode.org/wiki/Alore
Amazing Hopper,https://rosettacode.org/wiki/Amazing_Hopper
App Inventor,https://rosettacode.org/wiki/App_Inventor
Application Master,https://rosettacode.org/wiki/Application_Master
Apricot,https://rosettacode.org/wiki/Apricot
Aquarius BASIC,https://rosettacode.org/wiki/Aquarius_BASIC
Arbre,https://rosettacode.org/wiki/Arbre
Arendelle,https://rosettacode.org/wiki/Arendelle
Argile,https://rosettacode.org/wiki/Argile
Aria,https://rosettacode.org/wiki/Aria
AspectC++,https://rosettacode.org/wiki/AspectC++
AutoHotKey V2,https://rosettacode.org/wiki/AutoHotKey_V2
Autohotkey V2,https://rosettacode.org/wiki/Autohotkey_V2
Axe,https://rosettacode.org/wiki/Axe
Ayrch,https://rosettacode.org/wiki/Ayrch
B4J,https://rosettacode.org/wiki/B4J
BaCon,https://rosettacode.org/wiki/BaCon
BabyCobol,https://rosettacode.org/wiki/BabyCobol
Bait,https://rosettacode.org/wiki/Bait
Bas,https://rosettacode.org/wiki/Bas
Berkeley Logo,https://rosettacode.org/wiki/Berkeley_Logo
BootBASIC,https://rosettacode.org/wiki/BootBASIC
Bori,https://rosettacode.org/wiki/Bori
Bracmat,https://rosettacode.org/wiki/Bracmat
Brat,https://rosettacode.org/wiki/Brat
Brlcad,https://rosettacode.org/wiki/Brlcad
C++/CLI,https://rosettacode.org/wiki/C++/CLI
C0H,https://rosettacode.org/wiki/C0H
C1R,https://rosettacode.org/wiki/C1R
CB80,https://rosettacode.org/wiki/CB80
Cduce,https://rosettacode.org/wiki/Cduce
Cherrycake,https://rosettacode.org/wiki/Cherrycake
Cilk++,https://rosettacode.org/wiki/Cilk++
Cind,https://rosettacode.org/wiki/Cind
Clio,https://rosettacode.org/wiki/Clio
Clipper/XBase++,https://rosettacode.org/wiki/Clipper/XBase++
Computer/zero Assembly,https://rosettacode.org/wiki/Computer/zero_Assembly
ContextFree,https://rosettacode.org/wiki/ContextFree
Convex,https://rosettacode.org/wiki/Convex
Cowgol,https://rosettacode.org/wiki/Cowgol
Craft Basic,https://rosettacode.org/wiki/Craft_Basic
Cubescript,https://rosettacode.org/wiki/Cubescript
Curto,https://rosettacode.org/wiki/Curto
DBL,https://rosettacode.org/wiki/DBL
DCL,https://rosettacode.org/wiki/DCL
DDNC,https://rosettacode.org/wiki/DDNC
DIBOL-11,https://rosettacode.org/wiki/DIBOL-11
DIV Games Studio,https://rosettacode.org/wiki/DIV_Games_Studio
DMS,https://rosettacode.org/wiki/DMS
Dao,https://rosettacode.org/wiki/Dao
Deluge,https://rosettacode.org/wiki/Deluge
DeviousYarn,https://rosettacode.org/wiki/DeviousYarn
Diego,https://rosettacode.org/wiki/Diego
Diesel,https://rosettacode.org/wiki/Diesel
Dodo0,https://rosettacode.org/wiki/Dodo0
DreamBerd,https://rosettacode.org/wiki/DreamBerd
Dt,https://rosettacode.org/wiki/Dt
DuckDB,https://rosettacode.org/wiki/DuckDB
Dyalect,https://rosettacode.org/wiki/Dyalect
